,station_name,name,rating,Address,rating_counts,distance
0,GEORGES LANE,Phoenix Park,9.5,"Parkgate St, Dublin, Dublin City",803.0,2049
1,GEORGES LANE,Urbanity Coffee,9.3,"The Glass House, 11 Coke Lane, Dublin, Dublin City",203.0,380
2,GEORGES LANE,Container Coffee,8.8,"161 Thomas St, Dublin",17.0,800
3,GEORGES LANE,Legit Coffee Co,8.4,"1 Meath Mart Meath Street The Liberties (Meath St), Dublin, Dublin City",60.0,993
4,GEORGES LANE,Groundstate Coffee,8.3,"48- 50 James’s Street, Dublin, D08 YK6N, Dublin",18.0,970
5,GEORGES LANE,The Coffee Bean,8.1,"64 Mary St, Dublin, Dublin City",14.0,768
6,GEORGES LANE,Proper Order Coffee Co.,8.1,"7 Haymarket, Smithfield, Dublin, Dublin City",82.0,297
7,GEORGES LANE,Craft Coffee Roasters,8.0,"27 Merchant's Quay, Dublin",37.0,626
8,GEORGES LANE,The Riddler Restaurant,6.2,"La Rochelle Building, High Street, Christchurch, City Centre South (Lamb Alley), Dublin, Dublin City",17.0,822
9,GEORGES LANE,Q-Park Four Courts,,15-21 Usher's Quay,,570
10,NORTH CIRCULAR ROAD (O'CONNELL'S),The Croke Park Hotel,8.5,"Jones' Rd, Dublin",101.0,344
11,NORTH CIRCULAR ROAD (O'CONNELL'S),Old Music Shop Restaurant,7.7,"3 North Frederick St, Dublin",17.0,875
12,NORTH CIRCULAR ROAD (O'CONNELL'S),Esquires Coffee,7.3,"16 O'Connell Street Lower, Dublin",25.0,963
13,NORTH CIRCULAR ROAD (O'CONNELL'S),Roasted Bean Coffee Company,6.2,"53b Talbot St, Dublin, Dublin City",14.0,725
14,NORTH CIRCULAR ROAD (O'CONNELL'S),Esquires Coffee (Talbot Street),,79A Talbot St,,812
15,NORTH CIRCULAR ROAD (O'CONNELL'S),Q-Park The Spire,,"Marlborough St, Dublin",,845
16,NORTH CIRCULAR ROAD (O'CONNELL'S),TJ's Coffee Bar,,"79, Parnell St, Dublin, Dublin City",,852
17,NORTH CIRCULAR ROAD (O'CONNELL'S),Lily's Café & Restaurant,,Dublin,,857
18,NORTH CIRCULAR ROAD (O'CONNELL'S),Coffee Cartel,,,,975
19,PHIBSBOROUGH ROAD,Kingfisher Restaurant,8.3,"59 Parnell Square West, Dublin, Dublin City",115.0,864
20,PHIBSBOROUGH ROAD,The Coffee Bean,8.1,"64 Mary St, Dublin, Dublin City",14.0,932
21,PHIBSBOROUGH ROAD,Oriental Pantry Supermarket,7.9,"Unit 22-23 moore street, Dublin, 01 (Moore St), Dublin, Dublin City",10.0,901
22,PHIBSBOROUGH ROAD,Old Music Shop Restaurant,7.7,"3 North Frederick St, Dublin",17.0,677
23,PHIBSBOROUGH ROAD,Highfield Park - Uninest Student Accommodation,,"Highfield Park, 274 N Circular Rd, Dublin",,438
24,PHIBSBOROUGH ROAD,Coffee Addiction,,"340 North Circular Rd, Phibsborough, Dublin, Dublin City",,494
25,PHIBSBOROUGH ROAD,Park Rite Parnell Centre Car Park,,"Loftus Ln, Parnell St, Dublin, Dublin City",,740
26,PHIBSBOROUGH ROAD,Park Shopping Centre,,"44 Prussia St, Stoneybatter, Dublin City",,885
27,PHIBSBOROUGH ROAD,Lily's Café & Restaurant,,Dublin,,903
28,PHIBSBOROUGH ROAD,TJ's Coffee Bar,,"79, Parnell St, Dublin, Dublin City",,947
29,SMITHFIELD NORTH,Phoenix Park,9.5,"Parkgate St, Dublin, Dublin City",803.0,2155
30,SMITHFIELD NORTH,Urbanity Coffee,9.3,"The Glass House, 11 Coke Lane, Dublin, Dublin City",203.0,308
31,SMITHFIELD NORTH,Container Coffee,8.8,"161 Thomas St, Dublin",17.0,777
32,SMITHFIELD NORTH,Legit Coffee Co,8.4,"1 Meath Mart Meath Street The Liberties (Meath St), Dublin, Dublin City",60.0,917
33,SMITHFIELD NORTH,Groundstate Coffee,8.3,"48- 50 James’s Street, Dublin, D08 YK6N, Dublin",18.0,979
34,SMITHFIELD NORTH,The Coffee Bean,8.1,"64 Mary St, Dublin, Dublin City",14.0,655
35,SMITHFIELD NORTH,Proper Order Coffee Co.,8.1,"7 Haymarket, Smithfield, Dublin, Dublin City",82.0,239
36,SMITHFIELD NORTH,Craft Coffee Roasters,8.0,"27 Merchant's Quay, Dublin",37.0,518
37,SMITHFIELD NORTH,The Riddler Restaurant,6.2,"La Rochelle Building, High Street, Christchurch, City Centre South (Lamb Alley), Dublin, Dublin City",17.0,720
38,SMITHFIELD NORTH,Costa Coffee,6.1,"30 Essex St E, Temple Bar, Dublin, Dublin City",42.0,992
39,CLONMEL STREET,Merrion Square Park,9.2,"Páirc Chearnóg Mhuirfean, Dublin, Dublin City",379.0,948
40,CLONMEL STREET,Coffee Angel,9.0,"16 South Anne Street, Dublin 2, D02 VF29, Dublin, Dublin City",114.0,625
41,CLONMEL STREET,Coffeeangel,8.7,"15 Leinster Street South, Dublin, Dublin City",75.0,897
42,CLONMEL STREET,Two Pups Coffee,8.5,"74 Francis St, Dublin, Dublin City",71.0,782
43,CLONMEL STREET,The Art of Coffee,8.2,"The Origin Gallery, 84 Harcourt St, Dublin, Dublin City",37.0,352
44,CLONMEL STREET,Costa Coffee,7.9,"3 College Green, Dublin, Dublin City",123.0,933
45,CLONMEL STREET,Coffeeangel,7.7,"27 Pembroke Street Lower, Dublin, Dublin City",64.0,729
46,CLONMEL STREET,Lemon Crepe & Coffee Co.,7.7,"66 South William St, Dublin, Dublin City",96.0,771
47,CLONMEL STREET,"""Gurman's Tea & Coffee World"" Dublin",7.4,"St Stephens Green Shopping centre (Ground Floor), Dublin, Dublin City",17.0,451
48,CLONMEL STREET,Costa Coffee,6.5,"1 Dawson St, Dublin, Dublin City",143.0,820
49,AVONDALE ROAD,Old Music Shop Restaurant,7.7,"3 North Frederick St, Dublin",17.0,961
50,AVONDALE ROAD,Highfield Park - Uninest Student Accommodation,,"Highfield Park, 274 N Circular Rd, Dublin",,153
51,AVONDALE ROAD,Coffee Addiction,,"340 North Circular Rd, Phibsborough, Dublin, Dublin City",,204
52,AVONDALE ROAD,Park Shopping Centre,,"44 Prussia St, Stoneybatter, Dublin City",,811
53,MOUNT STREET LOWER,Merrion Square Park,9.2,"Páirc Chearnóg Mhuirfean, Dublin, Dublin City",379.0,639
54,MOUNT STREET LOWER,Coffeeangel,8.7,"15 Leinster Street South, Dublin, Dublin City",75.0,946
55,MOUNT STREET LOWER,Crema Coffee at Facebook HQ,8.3,Dublin,12.0,749
56,MOUNT STREET LOWER,The Art of Coffee,8.1,"Grand Canal Quay, Dublin, Dublin City",139.0,503
57,MOUNT STREET LOWER,Coffeeangel,7.7,"27 Pembroke Street Lower, Dublin, Dublin City",64.0,710
58,MOUNT STREET LOWER,Coffee 2 Go,7.5,"79 Mespil Rd, Dublin, Dublin City",65.0,516
59,MOUNT STREET LOWER,The Coffee Kiosk,7.3,"124b Pembroke Road, Dublin, Dublin 4, Dublin, Dublin City",29.0,751
60,MOUNT STREET LOWER,High Nelly's Coffee House,6.6,"4-6 Haddington Rd, Dublin, Dublin City",11.0,404
61,MOUNT STREET LOWER,Starbucks Coffee Ballsbridge,6.4,"Unit 2 The Oval, Shelbourne Rd, Dublin, Dublin City",85.0,982
62,MOUNT STREET LOWER,The Eddison Restaurant,,"Eastmoreland Place Dylan Hotel, Dublin, Dublin City",,477
63,CHRISTCHURCH PLACE,Urbanity Coffee,9.3,"The Glass House, 11 Coke Lane, Dublin, Dublin City",203.0,706
64,CHRISTCHURCH PLACE,Coffee Angel,9.0,"16 South Anne Street, Dublin 2, D02 VF29, Dublin, Dublin City",114.0,796
65,CHRISTCHURCH PLACE,Container Coffee,8.8,"161 Thomas St, Dublin",17.0,931
66,CHRISTCHURCH PLACE,Two Pups Coffee,8.5,"74 Francis St, Dublin, Dublin City",71.0,497
67,CHRISTCHURCH PLACE,Legit Coffee Co,8.4,"1 Meath Mart Meath Street The Liberties (Meath St), Dublin, Dublin City",60.0,609
68,CHRISTCHURCH PLACE,The Coffee Bean,8.1,"64 Mary St, Dublin, Dublin City",14.0,582
69,CHRISTCHURCH PLACE,Proper Order Coffee Co.,8.1,"7 Haymarket, Smithfield, Dublin, Dublin City",82.0,778
70,CHRISTCHURCH PLACE,Craft Coffee Roasters,8.0,"27 Merchant's Quay, Dublin",37.0,409
71,CHRISTCHURCH PLACE,The Quays Irish Restaurant,8.0,"10-12 Temple Bar Square, Dublin, Dublin City",293.0,524
72,CHRISTCHURCH PLACE,Costa Coffee,7.9,"3 College Green, Dublin, Dublin City",123.0,593
73,GRANTHAM STREET,Two Pups Coffee,8.5,"74 Francis St, Dublin, Dublin City",71.0,783
74,GRANTHAM STREET,The Art of Coffee,8.2,"The Origin Gallery, 84 Harcourt St, Dublin, Dublin City",37.0,250
75,GRANTHAM STREET,Coffeeangel,7.7,"27 Pembroke Street Lower, Dublin, Dublin City",64.0,936
