,station_name,name,rating,Address,rating_counts,distance
0,GEORGES LANE,Urbanity,4.5,The Glass House 11 Coke Lane Smithfield Dublin 7 Republic of Ireland,49,381.3309096050162
1,GEORGES LANE,Queen of Tarts,4.5,Cork Hill Dame Street Dublin 2 Republic of Ireland,516,1055.350508252417
2,GEORGES LANE,Wuff,4.5,"23 Benburb Street Smithfield, 7 Republic of Ireland",115,358.1269375986192
3,GEORGES LANE,Bittersweet Cafe,4.5,"Unit 3 Lord Edward Street Castlegate, 2 Republic of Ireland",21,1013.6964685658592
4,GEORGES LANE,San Lorenzo's,4.5,"Unit 9, Castle House S Great Georges Street Dublin 2 Republic of Ireland",151,1251.4650182560508
5,GEORGES LANE,The Tram Cafe,4.0,1 Wolfe Tone Square W Dublin 1 Republic of Ireland,12,905.8010755517589
6,NORTH CIRCULAR ROAD (O'CONNELL'S),Le Petit Breton,4.5,"1A Drumcondra Road Lower Drumcondra, 9 Republic of Ireland",14,670.4099125986061
7,NORTH CIRCULAR ROAD (O'CONNELL'S),The Lovely Food Company,4.5,"94 Drumcondra Road Lower Drumcondra, Co. Dublin Republic of Ireland",22,885.8061726670261
8,PHIBSBOROUGH ROAD,Le Petit Breton,4.5,"1A Drumcondra Road Lower Drumcondra, 9 Republic of Ireland",14,1173.435675486342
9,PHIBSBOROUGH ROAD,Wuff,4.5,"23 Benburb Street Smithfield, 7 Republic of Ireland",115,1141.7594015744264
10,PHIBSBOROUGH ROAD,Woodstock Café,4.0,156 Phibsborough Road Dublin 7 Republic of Ireland,27,558.9495930776611
11,PHIBSBOROUGH ROAD,The Tram Cafe,4.0,1 Wolfe Tone Square W Dublin 1 Republic of Ireland,12,1065.3125703931867
12,SMITHFIELD NORTH,Urbanity,4.5,The Glass House 11 Coke Lane Smithfield Dublin 7 Republic of Ireland,49,311.07745023072266
13,SMITHFIELD NORTH,Queen of Tarts,4.5,Cork Hill Dame Street Dublin 2 Republic of Ireland,516,931.4726400036127
14,SMITHFIELD NORTH,Wuff,4.5,"23 Benburb Street Smithfield, 7 Republic of Ireland",115,366.31092045300215
15,SMITHFIELD NORTH,Bittersweet Cafe,4.5,"Unit 3 Lord Edward Street Castlegate, 2 Republic of Ireland",21,891.176784874196
16,SMITHFIELD NORTH,San Lorenzo's,4.5,"Unit 9, Castle House S Great Georges Street Dublin 2 Republic of Ireland",151,1127.3568883313253
17,SMITHFIELD NORTH,The Tram Cafe,4.0,1 Wolfe Tone Square W Dublin 1 Republic of Ireland,12,789.1069231338511
18,SMITHFIELD NORTH,Busy Feet & Coco Cafe,4.0,41-42 South William Street Dublin 2 Republic of Ireland,49,1349.5768576758758
19,CLONMEL STREET,Tang,4.5,23 Dawson Street Dublin 2 Republic of Ireland,52,473.4585997694091
20,CLONMEL STREET,Beanhive,4.5,26 Dawson Street Dublin 2 Republic of Ireland,106,507.11283079430535
21,CLONMEL STREET,Dolce Sicily,4.5,20 South Anne Street Dublin 2 Republic of Ireland,73,613.9648271923564
22,CLONMEL STREET,Queen of Tarts,4.5,Cork Hill Dame Street Dublin 2 Republic of Ireland,516,949.9523064675893
23,CLONMEL STREET,Bittersweet Cafe,4.5,"Unit 3 Lord Edward Street Castlegate, 2 Republic of Ireland",21,946.1113474860808
24,CLONMEL STREET,Bibi's Cafe,4.5,14b Emorville Ave Dublin 8 Republic of Ireland,70,691.8747127054651
25,CLONMEL STREET,The Saddle Room Restaurant,4.5,The Shelbourne Hotel 27 St Stephen's Green Dublin 2 Republic of Ireland,32,548.4168579126754
26,CLONMEL STREET,San Lorenzo's,4.5,"Unit 9, Castle House S Great Georges Street Dublin 2 Republic of Ireland",151,831.9302813467417
27,CLONMEL STREET,Hatch and Sons,4.0,15 St Stephen's Green Dublin 2 Republic of Ireland,208,494.48334629020763
28,CLONMEL STREET,The Kilkenny Café,4.0,6 Nassau Street First Floor Dublin 2 Republic of Ireland,44,855.3270918100642
29,AVONDALE ROAD,Woodstock Café,4.0,156 Phibsborough Road Dublin 7 Republic of Ireland,27,318.34697387881823
30,MOUNT STREET LOWER,Press Cafe,4.5,Beggar's Bush Haddington Road The National Print Museum Dublin 4 Republic of Ireland,17,499.90416790331375
31,MOUNT STREET LOWER,The Saddle Room Restaurant,4.5,The Shelbourne Hotel 27 St Stephen's Green Dublin 2 Republic of Ireland,32,978.2258394732363
32,MOUNT STREET LOWER,3Fe,4.0,32/34 Lower Grand Canal Street Dublin 2 Republic of Ireland,150,215.9087381899147
33,MOUNT STREET LOWER,The Kilkenny Café,4.0,6 Nassau Street First Floor Dublin 2 Republic of Ireland,44,1020.9910679784
34,MOUNT STREET LOWER,Il Caffè di Napoli,4.0,41 Westland Row Dublin 2 Republic of Ireland,64,772.1707032778097
35,MOUNT STREET LOWER,KC Peaches,3.5,35-37 Saint Stephen's Green Dublin 2 Republic of Ireland,37,933.259389807526
36,MOUNT STREET LOWER,MAIA,3.5,47 Shelbourne Road Ballsbridge Dublin 4 Republic of Ireland,18,1052.2740779669327
37,MOUNT STREET LOWER,Roly's Cafe,3.5,7 Ballsbridge Terrace Dublin 4 Republic of Ireland,25,1128.943845535559
38,CHRISTCHURCH PLACE,Tang,4.5,23 Dawson Street Dublin 2 Republic of Ireland,52,863.3191142597087
39,CHRISTCHURCH PLACE,Urbanity,4.5,The Glass House 11 Coke Lane Smithfield Dublin 7 Republic of Ireland,49,709.6482089689412
40,CHRISTCHURCH PLACE,Beanhive,4.5,26 Dawson Street Dublin 2 Republic of Ireland,106,849.6621155696414
41,CHRISTCHURCH PLACE,Dolce Sicily,4.5,20 South Anne Street Dublin 2 Republic of Ireland,73,791.4402381513655
42,CHRISTCHURCH PLACE,Queen of Tarts,4.5,Cork Hill Dame Street Dublin 2 Republic of Ireland,516,191.32699957961714
43,CHRISTCHURCH PLACE,Wuff,4.5,"23 Benburb Street Smithfield, 7 Republic of Ireland",115,936.1625433704537
44,CHRISTCHURCH PLACE,Bittersweet Cafe,4.5,"Unit 3 Lord Edward Street Castlegate, 2 Republic of Ireland",21,87.0515660609627
45,CHRISTCHURCH PLACE,The Bakehouse,4.5,6 Bachelors Walk Dublin 1 Republic of Ireland,260,635.1232733650764
46,CHRISTCHURCH PLACE,The Saddle Room Restaurant,4.5,The Shelbourne Hotel 27 St Stephen's Green Dublin 2 Republic of Ireland,32,1053.3759128998975
47,CHRISTCHURCH PLACE,Hanley's Cornish Pasties,4.5,2 Merchants Arch Temple Bar Dublin 2 Republic of Ireland,55,550.0696503224032
48,GRANTHAM STREET,Tang,4.5,23 Dawson Street Dublin 2 Republic of Ireland,52,740.0289206134323
49,GRANTHAM STREET,Beanhive,4.5,26 Dawson Street Dublin 2 Republic of Ireland,106,773.3286483013836
50,GRANTHAM STREET,Dolce Sicily,4.5,20 South Anne Street Dublin 2 Republic of Ireland,73,876.9560116274336
51,GRANTHAM STREET,Bibi's Cafe,4.5,14b Emorville Ave Dublin 8 Republic of Ireland,70,479.7233436934355
52,GRANTHAM STREET,The Saddle Room Restaurant,4.5,The Shelbourne Hotel 27 St Stephen's Green Dublin 2 Republic of Ireland,32,806.7081918506395
53,GRANTHAM STREET,Hatch and Sons,4.0,15 St Stephen's Green Dublin 2 Republic of Ireland,208,761.1639690457755
54,GRANTHAM STREET,The Kilkenny Café,4.0,6 Nassau Street First Floor Dublin 2 Republic of Ireland,44,1122.026197872139
55,GRANTHAM STREET,The Cake Café,4.0,The Daintree Building Pleasants Place Dublin 2 Republic of Ireland,82,89.69577542462231
56,GRANTHAM STREET,Busy Feet & Coco Cafe,4.0,41-42 South William Street Dublin 2 Republic of Ireland,49,792.3504951016109
57,GRANTHAM STREET,Metro Cafe,4.0,43 S William Street Dublin 2 Republic of Ireland,112,805.9606147696622
58,PEARSE STREET,Tang,4.5,23 Dawson Street Dublin 2 Republic of Ireland,52,773.955749510008
59,PEARSE STREET,Press Cafe,4.5,Beggar's Bush Haddington Road The National Print Museum Dublin 4 Republic of Ireland,17,1410.7603600895695
60,PEARSE STREET,Beanhive,4.5,26 Dawson Street Dublin 2 Republic of Ireland,106,744.9087131493624
61,PEARSE STREET,Dolce Sicily,4.5,20 South Anne Street Dublin 2 Republic of Ireland,73,673.0389179062315
62,PEARSE STREET,The Bakehouse,4.5,6 Bachelors Walk Dublin 1 Republic of Ireland,260,856.4140552835278
63,PEARSE STREET,The Saddle Room Restaurant,4.5,The Shelbourne Hotel 27 St Stephen's Green Dublin 2 Republic of Ireland,32,718.9181117307056
64,PEARSE STREET,Hanley's Cornish Pasties,4.5,2 Merchants Arch Temple Bar Dublin 2 Republic of Ireland,55,842.2227195441969
65,PEARSE STREET,San Lorenzo's,4.5,"Unit 9, Castle House S Great Georges Street Dublin 2 Republic of Ireland",151,950.2657801219978
66,PEARSE STREET,Hatch and Sons,4.0,15 St Stephen's Green Dublin 2 Republic of Ireland,208,749.0596944143681
67,PEARSE STREET,3Fe,4.0,32/34 Lower Grand Canal Street Dublin 2 Republic of Ireland,150,746.8036013447993
68,YORK STREET EAST,Tang,4.5,23 Dawson Street Dublin 2 Republic of Ireland,52,224.73814823352944
69,YORK STREET EAST,Beanhive,4.5,26 Dawson Street Dublin 2 Republic of Ireland,106,245.22388904541856
70,YORK STREET EAST,Dolce Sicily,4.5,20 South Anne Street Dublin 2 Republic of Ireland,73,321.73481951881575
71,YORK STREET EAST,Queen of Tarts,4.5,Cork Hill Dame Street Dublin 2 Republic of Ireland,516,700.4139818023107
72,YORK STREET EAST,Bittersweet Cafe,4.5,"Unit 3 Lord Edward Street Castlegate, 2 Republic of Ireland",21,722.0197491148506
73,YORK STREET EAST,The Bakehouse,4.5,6 Bachelors Walk Dublin 1 Republic of Ireland,260,904.8971988833268
74,YORK STREET EAST,Bibi's Cafe,4.5,14b Emorville Ave Dublin 8 Republic of Ireland,70,904.5283522944083
75,YORK STREET EAST,The Saddle Room Restaurant,4.5,The Shelbourne Hotel 27 St Stephen's Green Dublin 2 Republic of Ireland,32,385.9311291912974
76,YORK STREET EAST,Hanley's Cornish Pasties,4.5,2 Merchants Arch Temple Bar Dublin 2 Republic of Ireland,55,782.0310961189092
77,YORK STREET EAST,San Lorenzo's,4.5,"Unit 9, Castle House S Great Georges Street Dublin 2 Republic of Ireland",151,549.5886441114646
78,EXCISE WALK,Tang,4.5,23 Dawson Street Dublin 2 Republic of Ireland,52,1337.7379945861978
79,EXCISE WALK,Beanhive,4.5,26 Dawson Street Dublin 2 Republic of Ireland,106,1308.6168817181135
80,EXCISE WALK,Dolce Sicily,4.5,20 South Anne Street Dublin 2 Republic of Ireland,73,1232.2922939845341
81,EXCISE WALK,The Saddle Room Restaurant,4.5,The Shelbourne Hotel 27 St Stephen's Green Dublin 2 Republic of Ireland,32,1272.4678849111947
82,EXCISE WALK,Hatch and Sons,4.0,15 St Stephen's Green Dublin 2 Republic of Ireland,208,1312.57500482773
83,EXCISE WALK,3Fe,4.0,32/34 Lower Grand Canal Street Dublin 2 Republic of Ireland,150,890.542631662856
84,EXCISE WALK,The Kilkenny Café,4.0,6 Nassau Street First Floor Dublin 2 Republic of Ireland,44,959.6499165503741
85,EXCISE WALK,Il Caffè di Napoli,4.0,41 Westland Row Dublin 2 Republic of Ireland,64,682.993417698601
86,EXCISE WALK,KC Peaches,3.5,35-37 Saint Stephen's Green Dublin 2 Republic of Ireland,37,1247.7337198151668
87,EXCISE WALK,KC Peaches Cafe Nassau Street,3.5,28-29 Nassau St Dublin 2 Republic of Ireland,76,1037.684163212575
88,FITZWILLIAM SQUARE WEST,Tang,4.5,23 Dawson Street Dublin 2 Republic of Ireland,52,551.9216571005508
89,FITZWILLIAM SQUARE WEST,Beanhive,4.5,26 Dawson Street Dublin 2 Republic of Ireland,106,574.8916753403511
90,FITZWILLIAM SQUARE WEST,Dolce Sicily,4.5,20 South Anne Street Dublin 2 Republic of Ireland,73,677.6224399801489
91,FITZWILLIAM SQUARE WEST,Queen of Tarts,4.5,Cork Hill Dame Street Dublin 2 Republic of Ireland,516,1324.217307233725
92,FITZWILLIAM SQUARE WEST,The Saddle Room Restaurant,4.5,The Shelbourne Hotel 27 St Stephen's Green Dublin 2 Republic of Ireland,32,379.3754808219213
93,FITZWILLIAM SQUARE WEST,San Lorenzo's,4.5,"Unit 9, Castle House S Great Georges Street Dublin 2 Republic of Ireland",151,1134.9103922428567
94,FITZWILLIAM SQUARE WEST,Hatch and Sons,4.0,15 St Stephen's Green Dublin 2 Republic of Ireland,208,526.5005417318698
95,FITZWILLIAM SQUARE WEST,3Fe,4.0,32/34 Lower Grand Canal Street Dublin 2 Republic of Ireland,150,836.8685286691614
96,FITZWILLIAM SQUARE WEST,The Kilkenny Café,4.0,6 Nassau Street First Floor Dublin 2 Republic of Ireland,44,694.5694384583543
97,FITZWILLIAM SQUARE WEST,The Cake Café,4.0,The Daintree Building Pleasants Place Dublin 2 Republic of Ireland,82,893.4391405702139
98,PORTOBELLO ROAD,Bibi's Cafe,4.5,14b Emorville Ave Dublin 8 Republic of Ireland,70,499.46006701564187
